iter	Passed	Remaining
0	1	162
1	3	149
2	4	137
3	5	129
4	6	129
5	8	132
6	9	131
7	11	129
8	12	128
9	13	125
10	15	124
11	16	122
12	17	119
13	19	118
14	20	118
15	22	118
16	23	116
17	25	117
18	28	122
19	31	127
20	34	128
21	36	127
22	37	127
23	40	127
24	44	132
25	45	130
26	48	130
27	50	129
28	52	127
29	54	127
30	56	126
31	58	123
32	59	120
33	60	118
34	62	115
35	63	113
36	65	111
37	67	109
38	71	111
39	73	110
40	75	108
41	75	104
42	76	102
43	78	99
44	79	97
45	83	98
46	85	96
47	86	94
48	88	91
49	89	89
50	91	87
51	94	87
52	96	85
53	98	83
54	98	80
55	100	78
56	101	76
57	103	74
58	104	72
59	106	71
60	109	69
61	111	68
62	114	67
63	115	65
64	117	63
65	121	62
66	123	60
67	125	59
68	127	57
69	129	55
70	131	53
71	133	52
72	136	50
73	137	48
74	139	46
75	141	44
76	144	43
77	146	41
78	149	39
79	150	37
80	152	35
81	153	33
82	154	31
83	156	29
84	157	27
85	159	25
86	160	23
87	161	21
88	162	20
89	163	18
90	164	16
91	165	14
92	166	12
93	168	10
94	169	8
95	170	7
96	172	5
97	173	3
98	174	1
99	176	0
