iter	Passed	Remaining
0	138	138477
1	140	69924
2	141	47113
3	143	35696
4	145	29035
5	151	25033
6	152	21650
7	154	19096
8	155	17094
9	157	15578
10	159	14357
11	161	13276
12	162	12354
13	164	11566
14	165	10864
15	166	10251
16	168	9727
17	169	9254
18	171	8835
19	172	8463
20	174	8136
21	175	7813
22	177	7530
23	178	7257
24	179	7016
25	181	6790
26	182	6575
27	183	6380
28	184	6193
29	186	6024
30	187	5872
31	189	5727
32	190	5582
33	191	5453
34	193	5333
35	194	5215
36	196	5106
37	197	5001
38	198	4899
39	200	4819
40	202	4726
41	204	4655
42	205	4578
43	207	4506
44	208	4430
45	210	4361
46	211	4291
47	212	4223
48	214	4160
49	217	4131
50	219	4075
51	220	4015
52	222	3971
53	224	3925
54	225	3874
55	229	3871
56	231	3822
57	232	3769
58	233	3730
59	235	3687
60	236	3645
61	238	3601
62	239	3560
63	241	3528
64	242	3492
65	244	3457
66	245	3425
67	247	3393
68	248	3357
69	250	3323
70	251	3294
71	254	3282
72	256	3257
73	257	3227
74	259	3198
75	260	3169
76	261	3140
77	263	3115
78	265	3092
79	267	3075
80	268	3049
81	270	3028
82	271	2996
83	272	2973
84	274	2950
85	275	2927
86	277	2908
87	278	2889
88	280	2868
89	281	2846
90	282	2823
91	283	2802
92	285	2781
93	286	2760
94	287	2740
95	289	2723
96	290	2707
97	292	2689
98	293	2674
99	295	2662
100	297	2646
101	298	2629
102	300	2613
103	302	2602
104	304	2591
105	305	2576
106	306	2559
107	308	2550
108	310	2535
109	311	2520
110	312	2505
111	314	2495
112	316	2484
113	317	2469
114	319	2457
115	320	2445
116	322	2430
117	323	2418
118	324	2404
119	326	2395
120	328	2383
121	329	2370
122	330	2356
123	332	2345
124	333	2334
125	334	2322
126	336	2310
127	337	2299
128	339	2290
129	340	2279
130	341	2267
131	343	2256
132	344	2246
133	345	2235
134	347	2225
135	348	2213
136	350	2209
137	352	2203
138	355	2200
139	356	2192
140	358	2184
141	359	2172
142	361	2165
143	366	2179
144	379	2239
145	381	2229
146	383	2224
147	385	2217
148	386	2208
149	387	2198
150	391	2200
151	393	2192
152	394	2182
153	395	2172
154	397	2167
155	398	2158
156	400	2148
157	401	2139
158	405	2144
159	407	2140
160	409	2132
161	410	2124
162	411	2115
163	413	2107
164	416	2108
165	419	2105
166	420	2096
167	422	2091
168	423	2082
169	424	2073
170	425	2064
171	428	2064
172	430	2056
173	431	2050
174	433	2043
175	434	2035
176	436	2027
177	437	2020
178	438	2012
179	441	2011
180	443	2006
181	445	2004
182	447	1998
183	449	1991
184	450	1984
185	451	1977
186	454	1976
187	455	1969
188	457	1962
189	459	1959
190	461	1953
191	462	1946
192	463	1939
193	466	1938
194	468	1932
195	469	1927
196	471	1920
197	472	1914
198	474	1911
199	476	1904
200	479	1904
201	480	1899
202	482	1893
203	483	1886
204	484	1880
205	486	1874
206	487	1867
207	488	1861
208	493	1865
209	496	1866
210	498	1864
211	500	1858
212	501	1852
213	504	1852
214	506	1848
215	508	1843
216	509	1838
217	510	1832
218	512	1827
219	513	1822
220	516	1821
221	518	1815
222	519	1809
223	520	1804
224	522	1798
225	523	1793
226	524	1787
227	526	1781
228	528	1778
229	530	1774
230	531	1768
231	532	1762
232	533	1756
233	534	1750
234	535	1744
235	537	1738
236	538	1733
237	539	1728
238	541	1722
239	542	1717
240	543	1711
241	544	1705
242	545	1699
243	546	1694
244	548	1689
245	549	1684
246	551	1680
247	552	1674
248	553	1669
249	554	1664
250	556	1659
251	557	1653
252	558	1647
253	559	1642
254	560	1637
255	561	1632
256	562	1626
257	564	1622
258	565	1617
259	566	1612
260	569	1612
261	570	1607
262	572	1603
263	573	1598
264	574	1593
265	575	1588
266	577	1584
267	578	1581
268	580	1577
269	582	1573
270	584	1571
271	585	1567
272	586	1562
273	588	1558
274	589	1554
275	590	1550
276	592	1547
277	594	1543
278	595	1539
279	597	1535
280	598	1531
281	600	1527
282	603	1530
283	605	1526
284	607	1523
285	608	1519
286	610	1517
287	612	1514
288	615	1513
289	617	1510
290	618	1506
291	619	1502
292	621	1498
293	622	1495
294	624	1492
295	625	1488
296	629	1490
297	631	1486
298	632	1483
299	634	1479
300	636	1477
301	637	1474
